"Date","Open","High","Low","Close","Volume","Adjusted"
2016-05-23,285.487487792969,287.487487792969,283.299987792969,284.1875,3463532,261.3291015625
2016-05-24,284.600006103516,285.912506103516,283.887512207031,284.987487792969,3259468,262.064758300781
2016-05-25,286.575012207031,293.987487792969,286.575012207031,293.325012207031,5767348,269.731628417969
2016-05-26,294.024993896484,297.225006103516,291.5625,295.8125,13705560,272.01904296875
2016-05-27,295.8125,297.5,294.174987792969,296.700012207031,5775184,272.835144042969
2016-05-30,296.75,298.75,294.524993896484,294.9375,3814532,271.214447021484
2016-05-31,296.475006103516,296.475006103516,294.350006103516,295.475006103516,5515640,271.708709716797
2016-06-01,295.737487792969,295.737487792969,292.75,293.787506103516,5675632,270.156951904297
2016-06-02,293.674987792969,295.149993896484,292.75,293.737487792969,7910616,270.110992431641
2016-06-03,295.024993896484,296.25,292.262512207031,292.9375,4524420,269.375335693359
2016-06-06,294,295.600006103516,292.512512207031,292.774993896484,5547308,269.225830078125
2016-06-07,294.237487792969,295,291.912506103516,293.424987792969,5628504,269.823608398438
2016-06-08,293.950012207031,294.5,290.25,290.649993896484,4742812,267.271820068359
2016-06-09,290.625,291.049987792969,288.125,289.850006103516,4648184,266.536163330078
2016-06-10,289.600006103516,293.174987792969,289.049987792969,290.337493896484,6322312,266.984436035156
2016-06-13,288.6875,291.237487792969,287.762512207031,288.225006103516,3323236,265.041839599609
2016-06-14,288.75,289.25,286.0625,287.962493896484,3828768,264.800537109375
2016-06-15,288.75,292.725006103516,288.299987792969,292.387512207031,3045824,268.869598388672
2016-06-16,291.637512207031,292.212493896484,288.837493896484,290.537506103516,4727768,267.168365478516
2016-06-17,291.75,294.5,291.387512207031,292.5,3761652,268.972991943359
2016-06-20,289.75,294.8125,289.700012207031,293.012512207031,2742764,269.444244384766
2016-06-21,293.75,293.862487792969,290.299987792969,291.662506103516,2670968,268.202880859375
2016-06-22,291.5,293.75,291.5,292.875,3803840,269.317840576172
2016-06-23,292.450012207031,297.962493896484,291.875,297.524993896484,3926732,273.593780517578
2016-06-24,289.962493896484,292.975006103516,286.75,290.475006103516,11173964,267.110900878906
2016-06-27,290.5,292.25,288.262512207031,289.987487792969,4163788,266.66259765625
2016-06-28,290.3125,293.274993896484,287.5,291.737487792969,4034980,268.271850585938
2016-06-29,291.25,292.375,289.924987792969,292.075012207031,5420668,270.786682128906
2016-06-30,292.75,295,290.537506103516,294.112487792969,16278892,272.675598144531
2016-07-01,295,296.25,292.950012207031,293.625,4304876,272.223663330078
2016-07-04,294.549987792969,294.875,292.850006103516,293.200012207031,7249852,271.829620361328
2016-07-05,293.200012207031,293.575012207031,290.5,291.399993896484,2136328,270.160827636719
2016-07-07,291.975006103516,297.1875,290.225006103516,296.412506103516,4832616,274.807952880859
2016-07-08,296.274993896484,296.399993896484,292.8125,293.712493896484,3118868,272.304779052734
2016-07-11,296.5,300.475006103516,295.262512207031,299.9375,5102532,278.076019287109
2016-07-12,302.475006103516,302.475006103516,298.887512207031,300.537506103516,7046032,278.63232421875
2016-07-13,299.950012207031,300.487487792969,298.325012207031,299.4375,6687072,277.612457275391
2016-07-14,300.25,300.537506103516,298.049987792969,300.087493896484,3459668,278.215087890625
2016-07-15,300.950012207031,306.5,298.774993896484,305.924987792969,5774216,283.627166748047
2016-07-18,306.25,309.625,305.662506103516,306.862487792969,4438484,284.496246337891
2016-07-19,307.25,307.6875,303.462493896484,304.587493896484,2586004,282.387145996094
2016-07-20,305.75,309.625,305.4375,308.049987792969,4690332,285.597229003906
2016-07-21,307.674987792969,309.975006103516,305.625,307.149993896484,9112904,284.762878417969
2016-07-22,308.337493896484,308.662506103516,305.375,307.700012207031,5620272,285.272766113281
2016-07-25,308.25,312.362487792969,306.75,311.737487792969,9872884,289.015991210938
2016-07-26,310.600006103516,311.412506103516,308.787506103516,309.700012207031,5665992,287.127014160156
2016-07-27,310.25,311.887512207031,307.5,309.237487792969,10734736,286.698181152344
2016-07-28,309.5,312.8125,308.887512207031,312.112487792969,10646528,289.363647460938
2016-07-29,312,312.5,308.75,311.549987792969,3395676,288.842132568359
2016-08-01,312.25,314.737487792969,306.912506103516,310.575012207031,5560864,287.938262939453
2016-08-02,311.75,314.112487792969,310.100006103516,310.825012207031,5329396,288.170013427734
2016-08-03,310.274993896484,312.487487792969,307.75,310.112487792969,4733876,287.509368896484
2016-08-04,311.649993896484,311.674987792969,308.399993896484,310.25,4662880,287.636932373047
2016-08-05,311.850006103516,313.912506103516,310.4375,312.3125,5784912,289.549102783203
2016-08-08,313.225006103516,313.75,311.137512207031,312.399993896484,4728776,289.630218505859
2016-08-09,313.225006103516,313.225006103516,309.424987792969,311.799987792969,4210856,289.074005126953
2016-08-10,311.25,312.737487792969,304.9375,306.725006103516,3619720,284.368804931641
2016-08-11,306.700012207031,308.75,305.5,307.0625,2856072,284.681732177734
2016-08-12,307.762512207031,308.75,304.850006103516,307.174987792969,4641496,284.786041259766
2016-08-16,308.25,309.612487792969,303.450012207031,306.825012207031,3468568,284.461547851562
2016-08-17,308.350006103516,309.375,306.5,308.725006103516,5511036,286.223022460938
2016-08-18,309.5,313.725006103516,308.637512207031,313.125,6111656,290.302337646484
2016-08-19,312.5,312.5,310.362487792969,311.774993896484,4110636,289.05078125
2016-08-22,311.262512207031,313.612487792969,310.25,312.575012207031,5501292,289.792449951172
2016-08-23,312.75,313.5,311.512512207031,312.862487792969,5314524,290.058898925781
2016-08-24,313.012512207031,316.049987792969,311.762512207031,315.450012207031,5570936,292.457885742188
2016-08-25,316,316.700012207031,313.575012207031,314.637512207031,8729888,291.704620361328
2016-08-26,315,315.475006103516,313.475006103516,314.274993896484,2521136,291.368499755859
2016-08-29,313.875,313.875,309.049987792969,309.524993896484,2944184,286.964752197266
2016-08-30,311.274993896484,317.625,310.987487792969,317.162506103516,9867608,294.045532226562
2016-08-31,317.25,323.75,316.375,322.799987792969,11161364,299.272125244141
2016-09-01,322,322.5,318.850006103516,320.924987792969,5224676,297.533813476562
2016-09-02,321.375,322.25,320.287506103516,321.274993896484,3955188,297.858306884766
2016-09-06,322.512512207031,325.975006103516,322.512512207031,325.100006103516,5508884,301.404541015625
2016-09-07,325.25,326.25,320.774993896484,321.6875,4016444,298.24072265625
2016-09-08,322.5,323.8125,320.899993896484,322.350006103516,2905380,298.854949951172
2016-09-09,322.5,323.625,319.575012207031,322.600006103516,4013768,299.086730957031
2016-09-12,318.674987792969,321.100006103516,317.875,319.975006103516,3985728,296.653076171875
2016-09-14,318.75,319.25,316.350006103516,317.362487792969,3849508,294.230987548828
2016-09-15,318,320.975006103516,317.462493896484,319.899993896484,3501812,296.583557128906
2016-09-16,320.950012207031,326.125,320.950012207031,324.462493896484,6525816,300.8134765625
2016-09-19,324.25,325.625,322,322.537506103516,5894832,299.028778076172
2016-09-20,323.162506103516,323.75,321.012512207031,322.112487792969,3778248,298.634765625
2016-09-21,323,324.5,321.975006103516,323.25,4256400,299.689331054688
2016-09-22,326.25,329.237487792969,325.137512207031,326.725006103516,6555800,302.911102294922
2016-09-23,326.512512207031,329.612487792969,325.375,328.174987792969,4876808,304.255401611328
2016-09-26,326.524993896484,327.225006103516,323.424987792969,324.037506103516,5576772,300.419494628906
2016-09-27,324.75,326.537506103516,323.712493896484,324.512512207031,4056812,300.859893798828
2016-09-28,324.975006103516,325,322.25,323.8125,4989652,300.210906982422
2016-09-29,324.487487792969,326.5,316.987487792969,319.375,16450012,296.096801757812
2016-09-30,319.274993896484,320.25,316.850006103516,318.212493896484,4138428,295.01904296875
2016-10-03,320.25,322.475006103516,319.100006103516,321.799987792969,3900548,298.345031738281
2016-10-04,322.149993896484,323.75,320.575012207031,322.387512207031,2775512,298.889770507812
2016-10-05,324.5,325.012512207031,319.100006103516,321.524993896484,3647020,298.090118408203
2016-10-06,321.774993896484,323.899993896484,319.762512207031,320.487487792969,2895712,297.128204345703
2016-10-07,321,321.9375,319.0625,320.149993896484,3337464,296.815338134766
2016-10-10,321.25,321.975006103516,319.6875,321.087493896484,4719312,297.684478759766
2016-10-13,319.75,319.75,314.112487792969,315.6875,4519356,292.678070068359
